dataset_title,id,image_filename,organ,disease_state,oncotree_code,species,patient,st_technology,data_publication_date,license,study_link,download_page_link1,inter_spot_dist,spot_diameter,spots_under_tissue,preservation_method,nb_genes,treatment_comment,pixel_size_um_embedded,pixel_size_um_estimated,magnification,fullres_px_width,fullres_px_height,tissue,disease_comment,subseries,hest_version_added
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX202,TENX202.tif,Breast,Cancer,IDC,Homo sapiens,Patient 4,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,5599,FFPE,541,,0.27380875258153736,0.2739677293510169,,21607,30322,Breast,"DCIS, T4a N2a, G3, HER2-1+","Section 4, bottom",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX201,TENX201.tif,Breast,Cancer,IDC,Homo sapiens,Patient 4,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,6993,FFPE,541,,0.2738095097930846,0.2740396830434351,,22892,39456,Breast,"IDC, T2 N0 MX, Not provided, ER+/PR+/HER2-2+","Section 4, middle",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX200,TENX200.tif,Breast,Cancer,IDC,Homo sapiens,Patient 4,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,6410,FFPE,541,,0.27381253868115507,0.2739585075438425,,26717,46370,Breast,"IDC, Tis NX MX, G3, ER+/PR+/HER2-1+","Section 4, top",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX199,TENX199.tif,Breast,Cancer,IDC,Homo sapiens,Patient 3,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,3285,FFPE,541,,0.27380773297656547,0.27406188670299586,,14853,31607,Breast,"DCIS, TX NX M0, G2, ER-/PR-/HER2-2+","Section 3, bottom",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX198,TENX198.tif,Breast,Cancer,IDC,Homo sapiens,Patient 3,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,8307,FFPE,541,,0.27381346835331016,0.27411037624738493,,32654,35502,Breast,"DCIS, T4b N3a M1, G2, ER+/PR+/HER2-2+","Section 3, middle",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX197,TENX197.tif,Breast,Cancer,IDC,Homo sapiens,Patient 3,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,10083,FFPE,541,,0.27381295853231435,0.27404422482377844,,36559,48352,Breast,"CCH/DCIS, Tis N0, G2, ER+/PR+/HER2-1+","Section 3, top",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX196,TENX196.tif,Breast,Cancer,IDC,Homo sapiens,Patient 2,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,10020,FFPE,541,,0.27380711821841375,0.2740778908045294,,33113,44726,Breast,"DCIS, Tis NX MX, G3, HER2-3+","Section 2, bottom",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX195,TENX195.tif,Breast,Cancer,IDC,Homo sapiens,Patient 2,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,6824,FFPE,541,,0.27381256867048087,0.27397440193661526,,27235,38540,Breast,"DCIS, T1c N1 MX, G2, HER2-2+","Section 2, middle",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX194,TENX194.tif,Breast,Healthy,,Homo sapiens,Patient 2,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,7650,FFPE,541,,0.27380544639008464,0.2739671318956304,,27943,35801,Breast,"Normal, NA (Normal), NA, HER2-Neg","Section 2, top",v1_3_0
Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,TENX193,TENX193.tif,Breast,Cancer,IDC,Homo sapiens,Patient 1,Xenium,2025-12-11,Creative Commons Attribution,https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,100.0,100.0,8987,FFPE,541,,0.2738126061571474,0.27395305352288324,,29458,45088,Breast,"DCIS, T1c N0 M0, G3, HER2-1+","Section 1, bottom",v1_3_0
