sample_id	oncotree_code	organ	tissue	st_technology	disease_state	priority_tier	exclude_reason	n_spots	n_spots_norm	nb_genes	inter_spot_dist	area_mm2	area_zscore	fullres_px_w	fullres_px_h	pixel_size_um
TENX202	IDC	Breast	Breast	Xenium	Cancer	xenium		5599	5599.0	541	100.0	49.2	-0.47	21607	30322	0.274
TENX201	IDC	Breast	Breast	Xenium	Cancer	xenium		6993	6993.0	541	100.0	67.8	0.05	22892	39456	0.274
TENX200	IDC	Breast	Breast	Xenium	Cancer	xenium		6410	6410.0	541	100.0	93.0	0.75	26717	46370	0.274
TENX199	IDC	Breast	Breast	Xenium	Cancer	xenium		3285	3285.0	541	100.0	35.3	-0.86	14853	31607	0.2741
TENX198	IDC	Breast	Breast	Xenium	Cancer	xenium		8307	8307.0	541	100.0	87.1	0.59	32654	35502	0.2741
TENX197	IDC	Breast	Breast	Xenium	Cancer	xenium		10083	10083.0	541	100.0	132.8	1.86	36559	48352	0.274
TENX196	IDC	Breast	Breast	Xenium	Cancer	xenium		10020	10020.0	541	100.0	111.3	1.26	33113	44726	0.2741
TENX195	IDC	Breast	Breast	Xenium	Cancer	xenium		6824	6824.0	541	100.0	78.8	0.35	27235	38540	0.274
TENX194		Breast	Breast	Xenium	Healthy	xenium		7650	7650.0	541	100.0	75.1	0.25	27943	35801	0.274
TENX193	IDC	Breast	Breast	Xenium	Cancer	xenium		8987	8987.0	541	100.0	99.7	0.93	29458	45088	0.274
TENX192	IDC	Breast	Breast	Xenium	Cancer	xenium		7972	7972.0	541	100.0	76.0	0.28	31283	32331	0.2742
TENX191	IDC	Breast	Breast	Xenium	Cancer	xenium		6111	6111.0	541	100.0	67.8	0.05	20515	43995	0.274
TENX190	LUAD	Lung	Lung	Xenium 5k	Cancer	xenium		7281	7281.0	541	100.0	81.8	0.44	25078	43448	0.274
TENX189	LUAD	Lung	Lung	Xenium 5k	Cancer	xenium		7189	7189.0	10029	100.0	86.7	0.57	26720	43270	0.2738
TENX160	HGSOC	Ovary	Ovary	Xenium 5k	Cancer	xenium		20123	20123.0	5001	100.0	244.0	4.95	78928	41263	0.2737
TENX187	HGSOC	Ovary	Ovary	Xenium 5k	Cancer	xenium		8556	8556.0	5101	100.0	102.1	1.0	30918	43993	0.274
