instance_id	sample_id	oncotree_code	n_spots_in_tls	st_technology	GC_score	Tfh_score	Plasma_score	HEV_score	Suppressive	Myeloid_supp	Cytotoxic	Neighbor_TGFB1	Neighbor_VEGFA	Neighbor_CD8A	Neighbor_tumor_fraction	Neighbor_myeloid_fraction
MEND140_2	MEND140	PRAD	6	Visium	0.482311	-0.552123	-0.768629	-0.418416	-0.734038	-0.420164	-0.001042	-1.207254	0.397542	-0.672897	0.826926	-1.230066
MEND142_18	MEND142	PRAD	17	Visium	0.669135	0.786674	0.729424	1.446796	-0.920857	-0.045966	-0.500765	-1.064904	0.429622	-0.205156	-0.751982	-0.982370
MEND142_21	MEND142	PRAD	14	Visium	1.413117	1.587395	0.100360	1.168492	-0.903656	-0.420164	-0.634410	-1.138454	-0.471966	0.725607	-2.208994	-0.965306
MEND142_24	MEND142	PRAD	6	Visium	-0.321887	-0.552123	2.023284	0.057877	-1.059578	0.125942	-0.634410	-1.347655	-0.904993	-0.390200	-1.259289	-1.102243
MEND149_2	MEND149	PRAD	9	Visium	-0.145719	1.007903	-0.715444	0.648155	-1.059578	-0.420164	-0.391840	-0.710631	-0.144839	-0.460700	-2.290904	-0.681590
MEND149_3	MEND149	PRAD	18	Visium	0.231881	-0.053811	-0.586997	0.896863	-1.059578	-0.241820	-0.513668	-1.182311	-0.455517	0.400975	-2.320961	-0.776083
MEND151_2	MEND151	PRAD	5	Visium	0.976909	-0.552123	-0.812260	0.315905	-1.059578	-0.420164	-0.634410	-0.969850	-0.696455	-0.672897	-0.585278	-1.155019
MEND154_0	MEND154	PRAD	17	Visium	-0.475058	-0.343322	-0.728855	-0.360596	-0.944242	-0.420164	-0.634410	-1.451042	-0.640140	-0.331161	-1.446315	-1.430186
MEND154_1	MEND154	PRAD	8	Visium	-0.765246	-0.552123	-0.604651	-0.345175	-0.814498	0.769736	-0.438254	-1.328216	-0.141508	-0.460786	-0.074943	-1.184237
MEND154_2	MEND154	PRAD	8	Visium	-0.765246	-0.552123	-0.548071	-0.454726	-0.687866	-0.420164	-0.364969	-1.110654	0.882115	-0.421734	-0.022140	-1.137944
