instance_id	sample_id	oncotree_code	n_spots_in_tls	st_technology	GC_score	Tfh_score	Plasma_score	HEV_score	Suppressive	Myeloid_supp	Cytotoxic	Neighbor_TGFB1	Neighbor_VEGFA	Neighbor_CD8A	Neighbor_tumor_fraction	Neighbor_myeloid_fraction	log_area_um2	circularity	convexity	Grad_GC	Grad_Tfh	Grad_Plasma	Grad_HEV	Grad_Suppressive	Grad_Myeloid_supp	Grad_Cytotoxic
MEND140_2	MEND140	PRAD	6	Visium	-0.061778	-0.486560	-0.725665	-0.503259	-0.304081	-0.536310	-0.033355	-0.450183	0.004402	-0.598745	0.945067	-0.663090	-0.653950	1.152057	0.655038	2.649400	-0.036173	1.641513	-1.656190	0.557175	0.032298	-0.425854
MEND142_18	MEND142	PRAD	17	Visium	0.072324	2.347526	0.721448	1.288682	-0.531373	-0.296027	-0.393567	-0.310630	0.030359	-0.287594	-0.068091	-0.381213	-0.253720	-0.448219	0.416378	-0.862859	-1.223736	-1.421824	-1.012092	0.885273	0.587736	-0.212685
MEND142_21	MEND142	PRAD	14	Visium	0.606355	4.042563	0.113774	1.021311	-0.510445	-0.536310	-0.489901	-0.382735	-0.699143	0.331570	-1.003030	-0.361794	-0.364599	0.665610	0.039683	-0.257735	-2.116260	-1.102962	-0.868162	-0.039602	0.032298	0.066094
MEND142_24	MEND142	PRAD	6	Visium	-0.639032	-0.486560	1.971313	-0.045677	-0.700146	-0.185640	-0.489901	-0.587825	-1.049519	-0.410689	-0.393620	-0.517628	-0.268800	0.524315	-0.101928	-2.152983	-0.036173	-2.565178	0.617824	0.025079	-2.962327	0.066094
MEND149_2	MEND149	PRAD	9	Visium	-0.512579	2.815843	-0.674289	0.521414	-0.700146	-0.536310	-0.315051	0.036680	-0.434455	-0.457587	-1.055590	-0.038927	-0.916784	4.060133	2.294104	1.532184	-4.607287	0.638760	-2.533436	0.025079	0.032298	0.726678
MEND149_3	MEND149	PRAD	18	Visium	-0.241537	0.568310	-0.550210	0.760352	-0.700146	-0.421790	-0.402868	-0.425730	-0.685833	0.115617	-1.074876	-0.146459	-0.074852	0.716330	0.798940	1.224914	-0.858474	-1.150086	-0.466382	0.025079	-1.191331	0.182594
MEND151_2	MEND151	PRAD	5	Visium	0.293245	-0.486560	-0.767813	0.202215	-0.700146	-0.536310	-0.489901	-0.217445	-0.880784	-0.598745	0.038881	-0.577686	-0.842078	-0.619896	-0.580916	-1.120682	-0.036173	-0.373894	0.842214	0.025079	0.032298	0.066094
MEND154_0	MEND154	PRAD	17	Visium	-0.748978	-0.044551	-0.687244	-0.447712	-0.559824	-0.536310	-0.489901	-0.689180	-0.835218	-0.371415	-0.513632	-0.890826	-0.174248	2.039972	2.309392	-0.788571	-0.444014	0.438010	0.456897	-0.290914	0.032298	0.066094
MEND154_1	MEND154	PRAD	8	Visium	-0.957275	-0.486560	-0.567263	-0.432896	-0.401973	0.227759	-0.348508	-0.568768	-0.431760	-0.457644	0.366354	-0.610936	-0.936050	2.602008	1.606015	-0.022607	-0.036173	-0.128668	0.265068	0.372902	-1.643779	0.307522
MEND154_2	MEND154	PRAD	8	Visium	-0.957275	-0.486560	-0.512607	-0.538143	-0.247906	-0.536310	-0.295682	-0.355481	0.396486	-0.431666	0.400237	-0.558255	-0.948781	-0.502765	-0.519952	-0.022607	-0.036173	-0.767865	-0.741577	-1.440466	0.032298	2.047093
