instance_id	sample_id	oncotree_code	n_spots_in_tls	st_technology	GC_score	Tfh_score	Plasma_score	HEV_score	Suppressive	Myeloid_supp	Cytotoxic	Neighbor_TGFB1	Neighbor_VEGFA	Neighbor_CD8A	Neighbor_tumor_fraction	Neighbor_myeloid_fraction	log_area_um2	circularity	convexity	Grad_GC	Grad_Tfh	Grad_Plasma	Grad_HEV	Grad_Suppressive	Grad_Myeloid_supp	Grad_Cytotoxic
MEND140_2	MEND140	PRAD	6	Visium	0.510665	0.000000	0.332767	0.202278	0.145234	0.000000	0.298099	0.438248	2.399924	0.000000	5.536029	0.707887	11.350512	0.238596	0.662634	2.336514	0.000000	1.381912	-0.809512	0.175479	0.000000	-0.197362
MEND142_18	MEND142	PRAD	17	Visium	0.587138	0.494782	3.597712	1.213675	0.061888	0.124353	0.062901	0.630560	2.448597	0.180548	2.985528	1.042121	11.726883	0.109392	0.637329	-0.389036	-0.273607	-1.200170	-0.480826	0.283682	0.152394	-0.111842
MEND142_21	MEND142	PRAD	14	Visium	0.891674	0.790706	2.226692	1.062767	0.069562	0.000000	0.000000	0.531195	1.080676	0.539822	0.631933	1.065147	11.622614	0.199321	0.597388	-0.108864	-0.479239	-0.931401	-0.407378	-0.021331	0.000000	0.000000
MEND142_24	MEND142	PRAD	6	Visium	0.181481	0.000000	6.417629	0.460544	0.000000	0.181481	0.000000	0.248570	0.423671	0.109121	2.166047	0.880368	11.712702	0.187913	0.582373	-0.986363	0.000000	-4.618347	0.350927	0.000000	-0.986363	0.000000
MEND149_2	MEND149	PRAD	9	Visium	0.253592	0.576542	0.448680	0.780618	0.000000	0.000000	0.114167	1.109174	1.577004	0.081908	0.499619	1.447984	11.103347	0.473390	0.836424	0.719868	-1.053156	0.536693	-1.257174	0.000000	0.000000	0.265016
MEND149_3	MEND149	PRAD	18	Visium	0.408156	0.184162	0.728626	0.915478	0.000000	0.059267	0.056828	0.471946	1.105633	0.414514	0.451067	1.320478	11.895088	0.203416	0.677892	0.577602	-0.189453	-0.971122	-0.202348	0.000000	-0.335724	0.046738
MEND151_2	MEND151	PRAD	5	Visium	0.713120	0.000000	0.237675	0.600458	0.000000	0.000000	0.000000	0.758975	0.740072	0.000000	3.254816	0.809154	11.173599	0.095531	0.531586	-0.508408	0.000000	-0.316871	0.465434	0.000000	0.000000	0.000000
MEND154_0	MEND154	PRAD	17	Visium	0.118783	0.077167	0.419452	0.233630	0.051455	0.000000	0.000000	0.108897	0.825516	0.131910	1.863932	0.437851	11.801617	0.310285	0.838045	-0.354641	-0.093964	0.367481	0.268805	-0.104211	0.000000	0.000000
MEND154_1	MEND154	PRAD	8	Visium	0.000000	0.000000	0.690150	0.241992	0.109338	0.395426	0.092322	0.274832	1.582058	0.081875	4.079189	0.769728	11.085230	0.355663	0.763466	0.000000	0.000000	-0.110171	0.170914	0.114708	-0.459861	0.096857
MEND154_2	MEND154	PRAD	8	Visium	0.000000	0.000000	0.813464	0.182589	0.165833	0.000000	0.126814	0.568753	3.135137	0.096949	4.164485	0.832194	11.073257	0.104988	0.538050	0.000000	0.000000	-0.648949	-0.342781	-0.483320	0.000000	0.794746
MEND154_3	MEND154	PRAD	9	Visium	0.751426	0.082806	1.851665	0.738523	0.089552	0.229875	0.089552	0.419974	5.614826	0.198861	4.921636	0.830756	10.979991	0.280266	0.756110	0.710409	0.038074	-1.368833	0.598514	-0.205546	0.586866	-0.205546
MEND154_5	MEND154	PRAD	4	Visium	0.000000	0.000000	0.288924	0.778829	0.000000	0.000000	0.000000	0.516468	1.304900	0.138054	2.962877	1.241227	10.853928	0.198484	0.614559	0.000000	0.000000	2.024659	5.457702	0.000000	0.000000	0.000000
MEND154_6	MEND154	PRAD	8	Visium	0.208062	0.000000	0.648061	0.439332	0.108882	0.000000	0.000000	0.515445	6.741871	0.000000	5.021472	0.617569	11.412431	0.123038	0.468994	-0.002050	0.000000	0.294037	0.274787	-0.011455	0.000000	0.000000
MEND154_7	MEND154	PRAD	11	Visium	0.677433	0.105465	2.009568	0.988590	0.390482	0.543297	0.276529	0.879649	5.468479	0.393379	3.494918	1.884469	11.395684	0.302234	0.773787	0.456437	0.023025	0.396374	-0.648917	-0.287222	1.019157	0.649341
MEND154_8	MEND154	PRAD	10	Visium	0.119379	0.000000	0.900065	0.440477	0.000000	0.000000	0.091951	0.321246	3.278571	0.056713	3.124024	0.613061	11.339060	0.177786	0.569222	0.235161	0.000000	-0.866854	0.225135	0.000000	0.000000	0.278123
MEND156_0	MEND156	PRAD	6	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017183	0.802506	0.000000	1.384933	0.150251	11.190845	0.069857	0.390661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND156_1	MEND156	PRAD	12	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.094369	0.909628	0.000000	1.261921	0.455051	11.650955	0.064278	0.394231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND156_10	MEND156	PRAD	24	Visium	0.417059	0.000000	1.664985	0.237562	0.076884	0.078623	0.046306	0.405512	3.206971	0.125751	4.388192	1.277786	12.239048			-0.133995	0.000000	-1.049363	-0.019299	0.204695	-0.017352	0.204794
MEND156_11	MEND156	PRAD	22	Visium	0.944184	0.000000	1.302828	0.762122	0.243037	0.206631	0.613160	0.405512	3.206971	0.125751	4.388192	1.277786	12.264742			0.489628	0.000000	1.208430	0.129592	-0.114555	0.816351	-0.084253
MEND156_12	MEND156	PRAD	17	Visium	0.195630	0.000000	2.508506	0.391593	0.087863	0.046104	0.179345	0.405512	3.206971	0.125751	4.388192	1.277786	11.959897			0.134636	0.000000	-0.270395	-0.047289	-0.084557	-0.032081	-0.362413
MEND156_13	MEND156	PRAD	13	Visium	0.502833	0.000000	1.914846	0.471934	0.057463	0.275246	0.334788	0.405512	3.206971	0.125751	4.388192	1.277786	11.543270			0.537019	0.000000	0.945979	-0.026203	-0.038718	0.128643	0.204088
MEND156_14	MEND156	PRAD	5	Visium	0.343293	0.000000	1.483150	0.437211	0.000000	0.000000	0.000000	0.329329	4.816551	0.000000	3.471159	0.825227	10.851199	0.108382	0.404670	0.528025	0.000000	1.344013	2.236389	0.000000	0.000000	0.000000
MEND156_15	MEND156	PRAD	12	Visium	0.674770	0.068450	1.189838	0.743046	0.358344	0.155776	0.174756	0.729063	2.584697	0.084976	2.528763	2.694586	11.293986	0.196312	0.703911	-0.097907	0.404670	1.023105	-0.008618	0.661024	0.032240	0.226090
MEND156_16	MEND156	PRAD	6	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.067869	0.000000	11.051160	0.300294	0.695050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND156_17	MEND156	PRAD	31	Visium	0.268570	0.000000	2.597425	0.644080	0.061591	0.234331	0.191507	0.427780	5.827187	0.092764	4.849286	1.135448	12.473375	0.061967	0.525712	-0.063205	0.000000	0.548349	0.220932	0.133889	-0.136082	0.120127
MEND156_19	MEND156	PRAD	7	Visium	0.000000	0.000000	0.482916	0.163226	0.135080	0.000000	0.000000	0.173865	3.968580	0.000000	2.624555	0.452513	11.273919	0.157874	0.588926	0.000000	0.000000	-1.672312	0.255333	0.535769	0.000000	0.000000
MEND156_2	MEND156	PRAD	16	Visium	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119915	0.000000	0.109448	0.034772	11.915981	0.106651	0.591275	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND156_21	MEND156	PRAD	7	Visium	0.125199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.325790	6.725504	0.095107	4.261333	0.698820	11.582078	0.191568	0.645556	-1.143171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MEND156_23	MEND156	PRAD	40	Visium	0.553365	0.061249	2.294779	0.352393	0.087581	0.173166	0.127892	0.364094	6.008150	0.111179	4.037572	1.400687	12.753781	0.162553	0.722799	-0.017995	0.003828	-0.264167	0.103358	-0.097329	0.249042	0.088427
