instance_id	sample_id	oncotree_code	st_technology	cluster	log_area_um2	circularity	convexity	elongation	he_mean_A	he_var_A	he_mean_B	he_var_B	he_ratio_BA
MEND140_2	MEND140	PRAD	Visium	3	11.350512	0.238596	0.662634	1.2100090991810755	0.07163691713774466	0.0033575936576920526	0.08240452456206689	0.002818755072609282	1.1503080793331473
MEND142_18	MEND142	PRAD	Visium	2	11.726883	0.109392	0.637329	2.112903225806452	0.06651146685201276	0.001569669467475642	0.06997684413779236	0.0016831935806712688	1.0521019524872308
MEND142_21	MEND142	PRAD	Visium	2	11.622614	0.199321	0.597388	2.3047234110001615	0.05874417043914913	0.0009998291667143104	0.05706428043404544	0.0009890520341619383	0.9714032900193249
MEND142_24	MEND142	PRAD	Visium	1	11.712702	0.187913	0.582373	3.0011651616661856	0.04627594928264725	0.0006918304396826894	0.0498938839069789	0.0009159288684562822	1.0781817484117677
MEND149_2	MEND149	PRAD	Visium	2	11.103347	0.47339	0.836424	1.3341736694672317	0.07929955627930278	0.0028847638621390752	0.06797196442843079	0.0024897711518925194	0.857154410663096
MEND149_3	MEND149	PRAD	Visium	2	11.895088	0.203416	0.677892	1.7136281041792847	0.05463216976897753	0.0017853360108464594	0.05350713489616132	0.0017568345109459564	0.9794070988288835
MEND151_2	MEND151	PRAD	Visium	2	11.173599	0.095531	0.531586	1.8393470790377968	0.02958570266569944	0.0008120631335617386	0.027609628603824658	0.0005867241910290708	0.9332084796429132
MEND154_0	MEND154	PRAD	Visium	2	11.801617	0.310285	0.838045	1.950285790243331	0.0640450008883411	0.0016085167318330386	0.07062526637743191	0.0019102972309213788	1.1027444046813761
MEND154_1	MEND154	PRAD	Visium	2	11.08523	0.355663	0.763466	1.2519540229885049	0.06844834645156449	0.001974027394620863	0.06307632756099806	0.001740239244772899	0.9215171853074963
MEND154_2	MEND154	PRAD	Visium	3	11.073257	0.104988	0.53805	1.2384640206523847	0.06017580738741122	0.0014803733932064547	0.06369245364035897	0.001796730368106704	1.058439535847149
MEND154_3	MEND154	PRAD	Visium	3	10.979991	0.280266	0.75611	2.5569187958512494	0.08072586042902596	0.002589199043794406	0.06957536865625755	0.0020553723474650894	0.8618721223470649
MEND154_5	MEND154	PRAD	Visium	2	10.853928	0.198484	0.614559	1.9761009072815474	0.050509265809308465	0.0005305898026750295	0.062167942228009185	0.0013443392469143422	1.2308225279440137
MEND154_6	MEND154	PRAD	Visium	3	11.412431	0.123038	0.468994	1.580245717165627	0.06564824101631997	0.0016159897302731256	0.07130813243327536	0.0019078622709484318	1.0862154313555539
MEND154_7	MEND154	PRAD	Visium	3	11.395684	0.302234	0.773787	1.8473389355742316	0.03845378923483376	0.0007782414720905348	0.050801692467843676	0.001827030177828738	1.3211101813036528
MEND154_8	MEND154	PRAD	Visium	3	11.33906	0.177786	0.569222	1.7369483315447916	0.06440707875067503	0.001387882176545383	0.06065129756521756	0.0012716545663892462	0.9416868260708361
MEND156_0	MEND156	PRAD	Visium	2	11.190845	0.069857	0.390661	3.5277522935788688	0.12009999434616707	0.002042021880117664	0.11147939712713523	0.0022328374493042684	0.9282215018746421
MEND156_1	MEND156	PRAD	Visium	2	11.650955	0.064278	0.394231	1.605332470766209	0.09426190770756332	0.002301117862107499	0.08326216827342248	0.0022881335636570897	0.8833066325342548
MEND156_10	MEND156	PRAD	Visium	3	12.239048			2.058920602302732	0.06552778858995606	0.0018246341446802137	0.0796643287284467	0.002384572259493274	1.2157335146307295
MEND156_11	MEND156	PRAD	Visium	3	12.264742			2.058920602302732	0.07301255507255598	0.0024649264392002683	0.0796643287284467	0.002384572259493274	1.0911045182473142
MEND156_12	MEND156	PRAD	Visium	3	11.959897			2.058920602302732	0.07622858111153785	0.002214374974426246	0.0796643287284467	0.002384572259493274	1.0450716459208607
MEND156_13	MEND156	PRAD	Visium	3	11.54327			2.058920602302732	0.06561641566619239	0.0023756125678651633	0.0796643287284467	0.002384572259493274	1.2140914422043358
MEND156_14	MEND156	PRAD	Visium	3	10.851199	0.108382	0.40467	1.9845775602275388	0.06436527743549333	0.0024300037820826305	0.06630473922453954	0.002209254841688844	1.0301321126284266
MEND156_15	MEND156	PRAD	Visium	3	11.293986	0.196312	0.703911	1.05260729116648	0.05884035371408796	0.0016741102944771023	0.04964709229781573	0.0010388090008734607	0.8437592428328465
MEND156_16	MEND156	PRAD	Visium	2	11.05116	0.300294	0.69505	1.159523809523115	0.049958220120952156	0.0019660835819035895	0.06329412252479218	0.001964268421181107	1.2669411034170737
MEND156_17	MEND156	PRAD	Visium	3	12.473375	0.061967	0.525712	2.857142857142857	0.06114876585636443	0.0016240039283567898	0.0643977822717696	0.0017813261883896394	1.0531329842868284
MEND156_19	MEND156	PRAD	Visium	3	11.273919	0.157874	0.588926	2.031091329429815	0.06080390159414329	0.0021334207813571383	0.06575157036354765	0.0023290245381742507	1.0813709094266564
MEND156_2	MEND156	PRAD	Visium	2	11.915981	0.106651	0.591275	2.0244881824234344	0.06338808215261273	0.0014127471916753535	0.056510240101844515	0.0013337921465753522	0.8914962905138988
MEND156_21	MEND156	PRAD	Visium	3	11.582078	0.191568	0.645556	2.3056967156387853	0.05505831530132166	0.0021968474672418507	0.060764079220296176	0.002010200223417112	1.1036312841711222
MEND156_23	MEND156	PRAD	Visium	3	12.753781	0.162553	0.722799	1.9598204617238417	0.05107357133901981	0.0012685251462381238	0.05751201997108626	0.0015757088671883403	1.1260622365592736
MEND156_3	MEND156	PRAD	Visium	2	12.048108	0.048585	0.487793	1.3254211682847998	0.0967073025975228	0.002321517375365917	0.09922302655552957	0.0024371916611129136	1.0260137951368236
MEND156_4	MEND156	PRAD	Visium	2	12.743446	0.119323	0.662685	1.3851124357484585	0.08460053316494712	0.002224179620588634	0.06912321580066906	0.0018956102748048898	0.8170541391967157
MEND156_5	MEND156	PRAD	Visium	2	13.023053	0.044233	0.403635	2.249551557336901	0.08272096970855458	0.0020464800295094863	0.08498848768535938	0.00225375799284648	1.0274116464639353
MEND156_6	MEND156	PRAD	Visium	3	13.383325	0.107826	0.66151	1.9253336851551628	0.06330533877724454	0.0018261688660846961	0.08173737245940002	0.0022943008017648086	1.291160809470006
MEND156_7	MEND156	PRAD	Visium	3	11.691097	0.094927	0.503045	1.016206228712607	0.0574546074415902	0.0015589186297068087	0.061960879399839505	0.001937832470220498	1.0784318640211839
MEND156_8	MEND156	PRAD	Visium	3	13.823444			2.058920602302732	0.08484953293735258	0.0025892013205366417	0.0796643287284467	0.002384572259493274	0.938889419547727
MEND156_9	MEND156	PRAD	Visium	3	13.609201			2.058920602302732	0.08877498259244046	0.002424587169725856	0.0796643287284467	0.002384572259493274	0.8973736339006664
MEND157_0	MEND157	PRAD	Visium	3	11.213346	0.109884	0.470251	3.547101101158667	0.07865951000130715	0.0019271815509206425	0.07942739623811478	0.0022809731125384074	1.0097621538297767
MEND157_1	MEND157	PRAD	Visium	3	11.140252	0.235726	0.683196	1.3653136531365302	0.0841734965733849	0.0024640105998022673	0.0793892807215772	0.0022586549640628215	0.9431624436839607
MEND157_2	MEND157	PRAD	Visium	2	11.592679	0.201714	0.703916	1.8390565543224702	0.058638117505693185	0.0013352480503093665	0.06784313927399045	0.0018867378790550801	1.1569801719402666
MEND157_3	MEND157	PRAD	Visium	3	12.1557	0.060986	0.472125	1.7886998117942299	0.08642114578499692	0.0024499932563981	0.07367650119983309	0.0020307200684025356	0.8525286320911478
MEND157_4	MEND157	PRAD	Visium	2	10.91467	0.382482	0.736154	1.3138244197782063	0.05146816919075786	0.0005469481244895543	0.0611270488477473	0.001200318869721225	1.187667053420736
MEND158_0	MEND158	PRAD	Visium	2	11.172138	0.286213	0.73743	1.6506817580090012	0.06133503184135894	0.0014902828710350112	0.05871321949558543	0.0014344905826165317	0.9572542433408245
MEND158_1	MEND158	PRAD	Visium	3	11.057881	0.060986	0.318244	1.8618641208833702	0.056851301866366	0.0012704966907198985	0.057816643367590126	0.0014075185446909277	1.0169801124958096
MEND159_0	MEND159	PRAD	Visium	2	12.020123	0.050221	0.580584	2.7717730433232313	0.09417954772850633	0.0023522786940529325	0.09113894776451247	0.0023749606771400343	0.9677148591458617
MEND159_1	MEND159	PRAD	Visium	2	11.595436	0.20828	0.760132	1.448730964451387	0.107827670703272	0.0023511109820475943	0.09392582806372168	0.002487941852294182	0.8710735143504452
MEND159_10	MEND159	PRAD	Visium	2	13.491625			1.1000823441872813	0.11761537383486004	0.003712694390990297	0.09085923736843309	0.0023082601911477156	0.7725115723052126
MEND159_11	MEND159	PRAD	Visium	2	13.659686			1.1000823441872813	0.10401960331234687	0.0021077261931088513	0.09085923736843309	0.0023082601911477156	0.8734818676014727
MEND159_12	MEND159	PRAD	Visium	2	13.356722			1.1000823441872813	0.09930052015035654	0.0024445152846655645	0.09085923736843309	0.0023082601911477156	0.9149925622832386
MEND159_13	MEND159	PRAD	Visium	2	12.873032			1.1000823441872813	0.08804233550073495	0.002465165557434708	0.09085923736843309	0.0023082601911477156	1.031994856243615
MEND159_14	MEND159	PRAD	Visium	2	13.364476			1.1000823441872813	0.09506262716002861	0.0022134549982707388	0.09085923736843309	0.0023082601911477156	0.9557829410235051
MEND159_15	MEND159	PRAD	Visium	2	13.30386			1.1000823441872813	0.10360265356033915	0.0018710261144203391	0.09085923736843309	0.0023082601911477156	0.8769972027358914
MEND159_16	MEND159	PRAD	Visium	2	13.395569			1.1000823441872813	0.07929590714857476	0.0018460540685741723	0.09085923736843309	0.0023082601911477156	1.145825057505079
MEND159_17	MEND159	PRAD	Visium	2	12.292897			1.1000823441872813	0.10699814970538206	0.0030478632965340712	0.09085923736843309	0.0023082601911477156	0.8491664352945612
MEND159_18	MEND159	PRAD	Visium	2	12.870761			1.1000823441872813	0.11455290085047322	0.003118463060767451	0.09085923736843309	0.0023082601911477156	0.7931640027783525
MEND159_19	MEND159	PRAD	Visium	2	12.538053			1.1000823441872813	0.09560423671082632	0.002092232400956619	0.09085923736843309	0.0023082601911477156	0.9503683151956391
MEND159_2	MEND159	PRAD	Visium	2	13.318129	0.042768	0.596223	1.3031128589026817	0.0920222805764906	0.0021642004626837665	0.09114172615655357	0.0022841908326631825	0.9904310737093165
MEND159_20	MEND159	PRAD	Visium	2	12.28632	0.05	0.514861	1.722235797190322	0.0920440047816137	0.002477639256176664	0.0936207356635247	0.00258872408933684	1.0171301855634378
MEND159_3	MEND159	PRAD	Visium	2	12.799988	0.062871	0.57754	1.0541010431581095	0.08665344278978714	0.001962614556622189	0.08580534806985604	0.0020440998770679553	0.9902127983306043
MEND159_4	MEND159	PRAD	Visium	2	14.103222			1.1000823441872813	0.10162020756643064	0.0024033502423807013	0.09085923736843309	0.0023082601911477156	0.8941060006105287
MEND159_5	MEND159	PRAD	Visium	2	13.859			1.1000823441872813	0.10625397194150452	0.002370958752000433	0.09085923736843309	0.0023082601911477156	0.8551137967666129
MEND159_6	MEND159	PRAD	Visium	2	13.821498			1.1000823441872813	0.09118032190846961	0.0025801093280410805	0.09085923736843309	0.0023082601911477156	0.9964785763713486
MEND159_7	MEND159	PRAD	Visium	2	13.509237			1.1000823441872813	0.0926697878426433	0.0023261554081751776	0.09085923736843309	0.0023082601911477156	0.9804623435926647
MEND159_8	MEND159	PRAD	Visium	2	13.27093			1.1000823441872813	0.09490099333160362	0.00238901779435932	0.09085923736843309	0.0023082601911477156	0.9574108149843299
MEND159_9	MEND159	PRAD	Visium	2	13.250751			1.1000823441872813	0.09374979164025887	0.0031447909799065367	0.09085923736843309	0.0023082601911477156	0.9691673525748457
MEND160_0	MEND160	PRAD	Visium	2	11.575722	0.171801	0.710208	2.28152208965229	0.08033855510149936	0.003221438597230227	0.0637629835943798	0.0017319963883762426	0.7936784961320495
MEND160_1	MEND160	PRAD	Visium	2	11.858563	0.197625	0.664397	1.8701521845772946	0.060563738823941046	0.001772296670871255	0.05968518851260116	0.0017710182659914108	0.9854937900400463
MEND160_2	MEND160	PRAD	Visium	2	11.495179	0.138081	0.640651	1.7822832189633966	0.0759796901731308	0.001776667758109962	0.0702878050328903	0.0017877429650714307	0.9250867550621658
MEND160_3	MEND160	PRAD	Visium	2	11.909289	0.126229	0.621821	1.4899713467050124	0.07292394017834417	0.0016937819532814459	0.07172337228498382	0.0016399327381084827	0.9835367111208718
